#,Clave,Nombre,Nombre 2,Notas,URL,Tipo,tipo_final,metodo_clasificacion,confianza_tipo,no_contactar,motivo_no_contactar,contacto,puesto_contacto,email_contacto,tipo_email,fuente_contacto
10,1001031,Cobham Ltd.,"Mission Systems Division, Eaton",Power management company Eaton acquired,www.c...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
159,1002363,Zodiac Aerospace / Safran,,SAFRAN ACQUIRED ZODIAC AERO,www.zodiac.c...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
374,1003371,Pacific Insight,,see Methode,www...,Otro/Por clasificar,Otro/Por clasificar,posible duplicado: la nota remite a otro registro,,,,,,,,
819,1005300,Sensia Global,,formerly Cameron Technologies,www.s...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
1523,1006973,LANCOM Systems GmbH,,subsidiary of Rohde & Schwarz,www.l...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
2020,1007982,Ecolink Intelligent Technologies,,Subsidiary of Universal Electronics Industries,discov...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
2211,1008331,Det-Tronics,,subsidiary of Carrier,www.d...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
2225,1008365,Fabco-Air,,Subsidiary of Festo Group (USA),fabco-...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
2322,1008549,Automated Logic Corporation,,Subsidiary of Carrier,www.a...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
2330,1008572,Chemito Infotech Pvt. Ltd.,,subsidiary of the Toshniwal Group,chemito...,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
2676,1009175,Epson America,,Manufacturing subsidiary of Japan's Seiko Epson,epson.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,(contacto general),(giro: ELECTRONICA),mhernandez@epson.com.mx,nominal,Estudio Estudio_Electronica_Mexico_ESTRUCTURADO_ES/Contactos via dominio
2954,1009709,HTL Limited,,subsidiary of HFCL,htllimited.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
3357,1010516,BCS Integration Solutions Sdn Bhd,,subsidiary of Daifuku Oceania,bing.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
3638,1011065,"Digital Receiver Technology, Inc.",DRTi,Acquired by Thales from Boeing 10-24-24,drti.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
3951,1011702,Zetwerk Manufacturing Businesses Pvt Ltd.,Smile Electronics,Zetwerk acquired Smile Electronics Limited,zetwerk.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
4160,1012092,Zoll Medical Corporation,,subsidiary of Asahi Kasei Corp,zoll.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
4170,1012106,AESCO Electronics Inc.,,subsidiary of AirBorn,airborn.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
4600,1013147,eIndustrify,Eindustrify,a subsidiary of PRISMECS,eindustrify.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
4611,1013185,Nokia of America Corp,Infinera,Nokia acquired Infinera in Feb 2023,nokia.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
4612,1013186,Infinera Corporation,Nokia,Nokia acquired Infinera in Feb 2023,nokia.com,Otro/Por clasificar,Otro/Por clasificar,cambio corporativo: verificar si la planta sigue comprando,,,,,,,,
